mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
30	30	0	0	4/4	4	1	i(9)	c	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0	0	6	0.0	0.0	1.5	0.0
30	30	1/4	1/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.75	0.0
30	30	1/2	1/2	4/4	4	1	iio(9)	c	i		iio(9)	ii	o		9				o	1	1	2, -1, -4	-3	2	2	0	5	0.0	0.0	1.0	0.0
30	30	3/4	3/4	4/4	4	1	iio6	c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1	0	5	0.0	0.0	0.75	0.0
31	31	0	0	4/4	4	1	III(9)	c	i		III(9)	III			9				M	1	1	-3, 1, -2	-1	-3	-3	0	6	0.0	0.0	1.5	0.0
31	31	1/4	1/4	4/4	4	1	III6	c	i		III6	III		6					M	1	1	1, -2, -3		-3	1	0	5	0.0	0.0	0.75	0.0
31	31	1/2	1/2	4/4	4	1	iv(9)	c	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1	0	5	0.0	0.0	1.0	0.0
31	31	3/4	3/4	4/4	4	1	iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.75	0.0
32	32	0	0	4/4	4	1	V(9)	c	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1	1	6	0.14285714285714285	0.125	0.875	0.125
32	32	1/4	1/4	4/4	4	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5	1	6	0.14285714285714285	0.125	1.125	0.1
32	32	1/2	1/2	4/4	4	1	i(9)	c	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
32	32	3/4	3/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	1	6	0.14285714285714285	0.125	0.875	0.125
33	33	0	0	4/4	4	1	IV(9)	c	i		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1	1	6	0.14285714285714285	0.125	0.875	0.125
33	33	1/4	1/4	4/4	4	1	iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	1	6	0.14285714285714285	0.125	1.125	0.1
33	33	1/2	1/2	4/4	4	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	6	0.0	0.0	0.75	0.0
33	33	3/4	3/4	4/4	4	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	0	6	0.0	0.0	1.0	0.0
34	34	0	0	4/4	4	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	6	0.0	0.0	1.25	0.0
34	34	1/4	1/4	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
34	34	1/2	1/2	4/4	4	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	1.0	0.2
34	34	3/4	3/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.75	0.0
35	35	0	0	4/4	4	1	iv(9)	c	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1	0	6	0.0	0.0	1.25	0.0
35	35	1/4	1/4	4/4	4	1	iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	1.0	0.0
35	35	1/2	1/2	4/4	4	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.75	0.0
35	35	3/4	3/4	4/4	4	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	0	6	0.0	0.0	1.0	0.0
36	36	0	0	4/4	4	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	6	0.0	0.0	1.25	0.0
36	36	1/4	1/4	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
36	36	1/2	1/2	4/4	4	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	2.0	0.0
